,name,github_id,category,resource,homepage,contributor_count,description,projectrank,show,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,created_at,conda_latest_release_published_at,updated_at,conda_total_downloads,release_count,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,star_count,dockerhub_pulls,projectrank_placing,license,npm_id,npm_url,npm_monthly_downloads,helm_id,brew_id,apt_id,yum_id,trending,maven_id,maven_url
583,dabl,dabl/dabl,sklearn-utils,,{},24.0,,4,False,dabl,,,,['sklearn'],,,https://pypi.org/project/dabl,1802.0,1802.0,,,,,,,,,,,,3.0,,,,,,,,,,,
584,Mars,mars-project/mars,others,,{},53.0,,4,False,pymars,,,,,,,https://pypi.org/project/pymars,5318.0,5318.0,,,,,,,,,,,,3.0,,,,,,,,,,,
585,PaddleHub,PaddlePaddle/PaddleHub,others,,{},70.0,,4,False,paddlehub,,,,['paddle'],,,https://pypi.org/project/paddlehub,2509.0,2509.0,,,,,,,,,,,,3.0,,,,,,,,,,,
586,pykale,pykale/pykale,others,,{},32.0,,4,False,pykale,,,,['pytorch'],7.0,7.0,https://pypi.org/project/pykale,153.0,153.0,,,,,,,,,,,,3.0,,,,,,,,,,,
587,awesome-python-data-science,krzjoa/awesome-python-data-science,data-science,,{},39.0,,3,False,,,,,,10.0,10.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,
588,Machine-Learning-Tutorials,ujjwalkarn/Machine-Learning-Tutorials,data-science,,{},34.0,,3,False,,,,,,23.0,23.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,
589,ML in production,eugeneyan/applied-ml,data-science,,{},53.0,,3,False,,,,,,24.0,24.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,
590,EvaDB,georgia-tech-db/eva,ml-frameworks,,{},72.0,,3,False,evadb,,,,['pytorch'],,,https://pypi.org/project/evadb,274.0,274.0,,,,,,,,,,,,3.0,,,,,,,,,,,
591,finetune,IndicoDataSolutions/finetune,nlp,,{},25.0,,3,False,finetune,,,,"['tensorflow', 'sklearn']",16.0,16.0,https://pypi.org/project/finetune,,,,,,,,,,,,,,3.0,,,,,,,,,,,
592,fast-bert,utterworks/fast-bert,nlp,,{},37.0,,3,False,fast-bert,,,,,,,https://pypi.org/project/fast-bert,188.0,188.0,,,,,,,,,,,,3.0,,,,,,,,,,,
593,Sockeye,awslabs/sockeye,nlp,,{},61.0,,3,False,sockeye,,,,['pytorch'],,,https://pypi.org/project/sockeye,709.0,709.0,,,,,,,,,,,,3.0,,,,,,,,,,,
594,Caer,jasmcaus/caer,image,,{},8.0,"A lightweight Computer Vision library. Scale your models, not boilerplate.",3,False,caer,,,https://caer.rtfd.io,,,,https://pypi.org/project/caer,1992.0,1992.0,,,,,,,,,,,,3.0,,,,,,,,,,,
595,PySlowFast,facebookresearch/SlowFast,image,,{},39.0,,3,False,pyslowfast,,,,['pytorch'],23.0,23.0,https://pypi.org/project/pyslowfast,18.0,18.0,,,,,,,,,,,,3.0,,,,,,,,,,,
596,DE⫶TR,facebookresearch/detr,image,,{},27.0,,3,False,,,,,['pytorch'],24.0,24.0,,,,,,,,,,,,,,,3.0,,,,,,,,,,,
597,sklearn-evaluation,edublancas/sklearn-evaluation,interpretability,,{},19.0,,3,False,sklearn-evaluation,,,,['sklearn'],,,https://pypi.org/project/sklearn-evaluation,1845.0,1845.0,,,,,,,,,,,,3.0,,,,,,,,,,,
