,name,github_id,category,resource,homepage,contributor_count,description,projectrank,show,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,created_at,conda_latest_release_published_at,updated_at,conda_total_downloads,release_count,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,star_count,dockerhub_pulls,projectrank_placing,license,npm_id,npm_url,npm_monthly_downloads,trending,helm_id,brew_id,apt_id,yum_id,maven_id,maven_url
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,{},112.0,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,17.0,Collection of web-scraping and crawling libraries.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python#data-loading--extraction,18.0,Collection of data-loading and -extraction libraries.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python#database-clients,18.0,Collection of database clients for python.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,18.0,"Collection of data-container, dataframe, and pandas-utility libraries.",0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,18.0,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Tensorflow,tensorflow/tensorflow,ml-frameworks,,{},5277.0,TensorFlow is an end-to-end open source platform for machine learning.,25,False,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],547727.0,547727.0,https://pypi.org/project/tensorflow,17552802.0,18784320.0,https://anaconda.org/conda-forge/tensorflow,2020-07-15 17:39:13.415,2026-08-19 19:35:24.819,2026-08-27 12:49:50.623162,7313773.0,47.0,https://hub.docker.com/r/tensorflow/tensorflow,2026-08-27 12:49:50.623162,2918.0,2918.0,82587106.0,1.0,,,,,,,,,,,
7,Pillow,python-pillow/Pillow,image,,{},522.0,Pillow is the friendly PIL fork by Alex Clark and Contributors.,25,True,Pillow,conda-forge/pillow,,,,2478966.0,2478966.0,https://pypi.org/project/Pillow,552120285.0,553262749.0,https://anaconda.org/conda-forge/pillow,2020-07-02 12:37:30.903,2026-07-01 14:19:14.756,2026-07-01 14:19:14.756000,83399909.0,60.0,,,,,,1.0,PIL,,,,,,,,,,
8,Matplotlib,matplotlib/matplotlib,data-viz,,{},1906.0,Publication quality figures in Python.,25,True,matplotlib,conda-forge/matplotlib,,,,1917551.0,1917551.0,https://pypi.org/project/matplotlib,236029624.0,236598252.0,https://anaconda.org/conda-forge/matplotlib,2020-06-19 14:20:14.311,2026-07-28 04:12:59.218,2026-07-28 04:12:59.218000,42078502.0,84.0,,,,,,1.0,,,,,,,,,,,
9,PyTorch,pytorch/pytorch,ml-frameworks,,{},6901.0,PyTorch is an optimized tensor library for deep learning using GPUs and CPUs.,24,False,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],874364.0,874364.0,https://pypi.org/project/torch,88822077.0,89363292.0,https://anaconda.org/pytorch/pytorch,2021-09-14 15:18:07.767,2025-03-25 16:24:31.802,2025-03-25 16:24:31.802000,31931705.0,32.0,,,,,,1.0,BSD-3-Clause,,,,,,,,,,
10,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,{},3557.0,A set of python modules for machine learning and data mining.,24,False,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],1372060.0,1372060.0,https://pypi.org/project/scikit-learn,236983257.0,237662054.0,https://anaconda.org/conda-forge/scikit-learn,2020-05-13 13:26:05.862,2026-06-02 15:39:39.655,2026-06-02 15:39:39.655000,50909816.0,63.0,,,,,,1.0,,,,,,,,,,,
11,transformers,huggingface/transformers,nlp,,{},4090.0,State-of-the-art Natural Language Processing for TensorFlow 2.0 and PyTorch.,24,False,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",433118.0,433118.0,https://pypi.org/project/transformers,191238276.0,191306283.0,https://anaconda.org/conda-forge/transformers,2020-07-21 09:47:14.490,2026-08-26 18:41:47.006,2026-08-26 18:41:47.006000,4964511.0,197.0,,,,,,1.0,,,,,,,,,,,
12,nltk,nltk/nltk,nlp,,{},518.0,Suite of libraries and programs for symbolic and statistical natural language processing for English.,22,False,nltk,conda-forge/nltk,,,,422439.0,422439.0,https://pypi.org/project/nltk,69175089.0,69239519.0,https://anaconda.org/conda-forge/nltk,2021-03-23 13:25:58.880,2026-08-16 01:44:08.443,2026-08-16 01:44:08.443000,4187988.0,26.0,,,,,,1.0,,,,,,,,,,,
13,Tokenizers,huggingface/tokenizers,nlp,,{},150.0,Fast State-of-the-Art Tokenizers optimized for Research and Production.,22,False,tokenizers,conda-forge/tokenizers,,,,206877.0,206877.0,https://pypi.org/project/tokenizers,264906538.0,264979794.0,https://anaconda.org/conda-forge/tokenizers,2020-07-20 15:07:28.335,2026-06-29 18:15:09.757,2026-06-29 18:15:09.757000,5347714.0,39.0,,,,,,1.0,,,,,,,,,,,
14,Plotly,plotly/plotly.py,data-viz,,{},332.0,"An interactive, browser-based graphing library for Python.",22,False,plotly,conda-forge/plotly,,,,476771.0,476771.0,https://pypi.org/project/plotly,68071014.0,68285725.0,https://anaconda.org/conda-forge/plotly,2020-05-26 16:18:32.550,2026-07-09 19:32:48.385,2026-07-09 19:32:48.385000,16033431.0,119.0,,,,,,1.0,,plotlywidget,https://www.npmjs.com/package/plotlywidget,932.0,,,,,,,
15,networkx,networkx/networkx,graph,,{},850.0,Python package for creating and manipulating complex networks.,22,False,networkx,conda-forge/networkx,,,,460788.0,460788.0,https://pypi.org/project/networkx,268565377.0,269059884.0,https://anaconda.org/conda-forge/networkx,2020-08-23 19:28:59.969,2025-12-08 17:32:15.937,2025-12-08 17:32:15.937000,35604550.0,33.0,,,,,,1.0,,,,,,,,,,,
16,Keras,keras-team/keras,ml-frameworks,,{},1552.0,Deep Learning for Python.,21,False,keras,conda-forge/keras,,https://keras.io,['tensorflow'],308374.0,308374.0,https://pypi.org/project/keras,17480680.0,17553546.0,https://anaconda.org/conda-forge/keras,2020-06-25 19:13:32.150,2026-07-30 13:59:39.561,2026-07-30 13:59:39.561000,5392136.0,52.0,,,,,,1.0,,,,,,,,,,,
17,XGBoost,dmlc/xgboost,ml-frameworks,,{},703.0,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",21,False,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,173132.0,173132.0,https://pypi.org/project/xgboost,48569743.0,48681686.0,https://anaconda.org/conda-forge/xgboost,2020-07-02 21:36:28.150,2026-08-20 00:30:29.570,2026-08-20 00:30:29.570000,8171843.0,45.0,,,,,,1.0,,,,,,,,,,,
18,StatsModels,statsmodels/statsmodels,ml-frameworks,,{},564.0,Statistical computations and models for Python.,21,False,statsmodels,conda-forge/statsmodels,,,,185960.0,185960.0,https://pypi.org/project/statsmodels,39716976.0,40098195.0,https://anaconda.org/conda-forge/statsmodels,2020-06-12 12:09:15.928,2026-08-27 17:35:42.252,2026-08-27 17:35:42.252000,28210267.0,24.0,,,,,,1.0,,,,,1.0,,,,,,
