,name,github_id,category,resource,homepage,contributor_count,description,projectrank,show,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,created_at,conda_latest_release_published_at,updated_at,conda_total_downloads,release_count,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,star_count,dockerhub_pulls,projectrank_placing,license,npm_id,npm_url,npm_monthly_downloads,helm_id,trending,brew_id,apt_id,yum_id,maven_id,maven_url
508,DeepVariant,google/deepvariant,medical-data,,{},44.0,DeepVariant is an analysis pipeline that uses a deep neural network to call genetic variants from next-generation DNA..,6,False,,bioconda/deepvariant,,,['tensorflow'],4.0,4.0,,,845.0,https://anaconda.org/bioconda/deepvariant,2018-01-02 11:31:01.469,2026-03-06 20:45:38.817,2026-03-06 20:45:38.817000,87130.0,18.0,,,,,,3.0,,,,,,,,,,,
509,ColossalAI,hpcaitech/colossalai,distributed-ml,,{},199.0,,6,False,,,,,,558.0,558.0,,,,,,,,,,,,,,,3.0,,,,,,,,,,,
510,horovod,horovod/horovod,distributed-ml,,{},178.0,,6,False,horovod,,,,,,,https://pypi.org/project/horovod,36633.0,36633.0,,,,,,,,,,,,3.0,,,,,stable/horovod,,,,,,
511,miceforest,AnotherSamWilson/miceforest,tabular,,{},9.0,Fast multiple imputation with random forests.,6,False,miceforest,conda-forge/miceforest,,,,,,https://pypi.org/project/miceforest,43963.0,44392.0,https://anaconda.org/conda-forge/miceforest,2021-07-23 19:20:49.403,2025-04-22 14:57:57.911,2025-04-22 14:57:57.911000,26188.0,8.0,,,,,,2.0,,,,,,,,,,,
512,upgini,upgini/upgini,tabular,,{},13.0,,6,False,upgini,,,,,11.0,11.0,https://pypi.org/project/upgini,8111.0,8111.0,,,,,,,,,,,,2.0,,,,,,,,,,,
513,ydata-synthetic,ydataai/ydata-synthetic,tabular,,{},24.0,Synthetic data generation methods with different synthetization methods.,6,False,ydata-synthetic,conda-forge/ydata-synthetic,,,,,,https://pypi.org/project/ydata-synthetic,6046.0,6494.0,https://anaconda.org/conda-forge/ydata-synthetic,2023-02-27 12:24:34.185,2025-04-22 14:58:36.339,2025-04-22 14:58:36.339000,18818.0,8.0,,,,,,2.0,,,,,,,,,,,
514,NeuralProphet,ourownstory/neural_prophet,time-series-data,,{},57.0,,6,False,neuralprophet,,,,['pytorch'],,,https://pypi.org/project/neuralprophet,97667.0,97667.0,,,,,,,,,,,,3.0,,,,,,,,,,,
515,pydlm,wwrechard/pydlm,time-series-data,,{},7.0,,6,False,pydlm,,,,,41.0,41.0,https://pypi.org/project/pydlm,54034.0,54034.0,,,,,,,,,,,,3.0,,,,,,,,,,,
516,tick,X-DataInitiative/tick,time-series-data,,{},22.0,,6,False,tick,,,,,97.0,97.0,https://pypi.org/project/tick,954.0,954.0,,,,,,,,,,,,3.0,,,,,,,,,,,
517,luminol,linkedin/luminol,time-series-data,,{},9.0,,6,False,luminol,,,,,88.0,88.0,https://pypi.org/project/luminol,2110.0,2110.0,,,,,,,,,,,,3.0,,,,,,,,,,,
518,TF Recommenders,tensorflow/recommenders,recommender-systems,,{},47.0,,6,False,tensorflow-recommenders,,,,['tensorflow'],,,https://pypi.org/project/tensorflow-recommenders,188748.0,188748.0,,,,,,,,,,,,3.0,,,,,,,,,,,
519,PySyft,OpenMined/PySyft,privacy-ml,,{},523.0,,6,False,syft,,,,['pytorch'],1.0,1.0,https://pypi.org/project/syft,11362.0,11362.0,,,,,,,,,,,,2.0,,,,,,,,,,,
520,cuGraph,rapidsai/cugraph,gpu-utilities,,{},134.0,GPU accelerated graph algorithms.,6,False,cugraph,conda-forge/libcugraph,,,,,,https://pypi.org/project/cugraph,1996.0,3178.0,https://anaconda.org/conda-forge/libcugraph,2021-04-21 14:35:45.489,2025-04-22 14:57:50.593,2025-04-22 14:57:50.593000,75650.0,2.0,,,,,,3.0,,,,,,,,,,,
521,madgrad,facebookresearch/madgrad,pytorch-utils,,{},3.0,,6,False,madgrad,,,,['pytorch'],111.0,111.0,https://pypi.org/project/madgrad,3061.0,3061.0,,,,,,,,,,,,3.0,,,,,,,,,,,
522,TensorFlow I/O,tensorflow/io,tensorflow-utils,,{},116.0,,6,False,tensorflow-io,,,,['tensorflow'],,,https://pypi.org/project/tensorflow-io,340056.0,340056.0,,,,,,,,,,,,3.0,,,,,,,,,,,
523,TensorFlow Transform,tensorflow/transform,tensorflow-utils,,{},32.0,,6,False,tensorflow-transform,,,,['tensorflow'],,,https://pypi.org/project/tensorflow-transform,142489.0,142489.0,,,,,,,,,,,,3.0,,,,,,,,,,,
524,TF Model Optimization,tensorflow/model-optimization,tensorflow-utils,,{},90.0,,6,False,tensorflow-model-optimization,,,,['tensorflow'],,,https://pypi.org/project/tensorflow-model-optimization,106001.0,106001.0,,,,,,,,,,,,3.0,,,,,,,,,,,
525,sklearn-contrib-lightning,scikit-learn-contrib/lightning,sklearn-utils,,{},17.0,"lightning is a library for large-scale linear classification, regression and ranking in Python.",6,False,sklearn-contrib-lightning,conda-forge/sklearn-contrib-lightning,,,['sklearn'],,,https://pypi.org/project/sklearn-contrib-lightning,1004.0,8404.0,https://anaconda.org/conda-forge/sklearn-contrib-lightning,2016-07-03 15:38:42.846,2025-04-22 14:56:24.858,2025-04-22 14:56:24.858000,895441.0,4.0,,,,,,3.0,,,,,,,,,,,
526,scikit-tda,scikit-tda/scikit-tda,sklearn-utils,,{},7.0,,6,False,scikit-tda,,,,['sklearn'],99.0,99.0,https://pypi.org/project/scikit-tda,1126.0,1126.0,,,,,,,,,,,,3.0,,,,,,,,,,,
527,AstroML,astroML/astroML,others,,{},31.0,Tools for machine learning and data mining in Astronomy.,6,False,astroML,conda-forge/astroml,,,['sklearn'],,,https://pypi.org/project/astroML,2099.0,4652.0,https://anaconda.org/conda-forge/astroml,2022-01-26 16:44:05.669,2025-04-22 14:56:39.232,2025-04-22 14:56:39.232000,140456.0,6.0,,,,,,3.0,,,,,,,,,,,
528,Ludwig,ludwig-ai/ludwig,ml-frameworks,,{},159.0,,5,False,ludwig,,,,['tensorflow'],,,https://pypi.org/project/ludwig,2683.0,2683.0,,,,,,,,,,,,3.0,,,,,,-4.0,,,,,
529,puncc,deel-ai/puncc,ml-frameworks,,{},7.0,,5,False,puncc,,,,,12.0,12.0,https://pypi.org/project/puncc,6715.0,6715.0,,,,,,,,,,,,3.0,,,,,,,,,,,
530,MindsDB,mindsdb/mindsdb,ml-frameworks,,{},907.0,,5,False,mindsdb,,,,['pytorch'],,,https://pypi.org/project/mindsdb,4725.0,4725.0,,,,,,,,,,,,3.0,,,,,,,,,,,
531,Neural Tangents,google/neural-tangents,ml-frameworks,,{},30.0,,5,False,neural-tangents,,,,,,,https://pypi.org/project/neural-tangents,955.0,955.0,,,,,,,,,,,,3.0,Apache-2.0,,,,,,,,,,
532,NeoML,neoml-lib/neoml,ml-frameworks,,{},41.0,,5,False,neoml,,,,,2.0,2.0,https://pypi.org/project/neoml,250.0,250.0,,,,,,,,,,,,3.0,Apache-2.0,,,,,,,,,,
533,DeepKE,zjunlp/deepke,nlp,,{},34.0,,5,False,deepke,,,,['pytorch'],25.0,25.0,https://pypi.org/project/deepke,185.0,185.0,,,,,,,,,,,,3.0,,,,,,,,,,,
534,ollama,jmorganca/ollama,agents,,{},613.0,,5,False,,,,,,71.0,71.0,,,,,,,,,,,,,,,3.0,,,,,,,,,,,
535,pytorchvideo,facebookresearch/pytorchvideo,image,,{},62.0,,5,False,pytorchvideo,,,,['pytorch'],,,https://pypi.org/project/pytorchvideo,32360.0,32360.0,,,,,,,,,,,,3.0,,,,,,,,,,,
536,kubric,google-research/kubric,image,,{},34.0,,5,False,kubric-nightly,,,,,8.0,8.0,https://pypi.org/project/kubric-nightly,1107.0,1107.0,,,,,,,,,,,,3.0,,,,,,,,,,,
537,layout-parser,Layout-Parser/layout-parser,image,,{},9.0,,5,False,layoutparser,,,,,,,https://pypi.org/project/layoutparser,223638.0,223638.0,,,,,,,,,,,,3.0,,,,,,,,,,,
538,Popmon,ing-bank/popmon,data-viz,,{},20.0,,5,False,popmon,,,,"['pandas', 'spark']",22.0,22.0,https://pypi.org/project/popmon,1977.0,1977.0,,,,,,,,,,,,3.0,,,,,,,,,,,
539,CausalNex,quantumblacklabs/causalnex,interpretability,,{},,,5,False,causalnex,,,,"['pytorch', 'sklearn']",,,https://pypi.org/project/causalnex,1625.0,1625.0,,,,,,,,,,,,3.0,Apache-2.0,,,,,,,,,,
540,Model Analysis,tensorflow/model-analysis,interpretability,,{},61.0,,5,False,tensorflow-model-analysis,,,,"['tensorflow', 'jupyter']",,,https://pypi.org/project/tensorflow-model-analysis,31172.0,31172.0,,,,,,,,,,,,3.0,,,,,,,,,,,
541,LOFO,aerdem4/lofo-importance,interpretability,,{},6.0,,5,False,lofo-importance,,,,,43.0,43.0,https://pypi.org/project/lofo-importance,1057.0,1057.0,,,,,,,,,,,,3.0,,,,,,,,,,,
542,Skater,oracle/Skater,interpretability,,{},,Python Library for Model Agnostic Interpretation.,5,False,skater,conda-forge/skater,,,,,,https://pypi.org/project/skater,232.0,3830.0,https://anaconda.org/conda-forge/skater,2020-07-05 18:35:27.012,2025-11-03 16:10:36.918,2025-11-03 16:10:36.918000,262717.0,2.0,,,,,,3.0,,,,,,,,,,,
543,XAI,EthicalML/xai,interpretability,,{},3.0,,5,False,xai,,,,,45.0,45.0,https://pypi.org/project/xai,830.0,830.0,,,,,,,,,,,,3.0,,,,,,,,,,,
544,DiCE,interpretml/DiCE,interpretability,,{},23.0,,5,False,dice-ml,,,,"['tensorflow', 'pytorch']",,,https://pypi.org/project/dice-ml,40395.0,40395.0,,,,,,,,,,,,3.0,,,,,,,,,,,
545,deepsnap,snap-stanford/deepsnap,graph,,{},18.0,,5,False,deepsnap,,,,,134.0,134.0,https://pypi.org/project/deepsnap,376.0,376.0,,,,,,,,,,,,3.0,,,,,,,,,,,
546,pygraphistry,graphistry/pygraphistry,graph,,{},53.0,,5,False,graphistry,,,,['jupyter'],,,https://pypi.org/project/graphistry,8971.0,8971.0,,,,,,,,,,,,3.0,,,,,,,,,,,
547,FinQuant,fmilthaler/FinQuant,financial-data,,{},7.0,,5,False,FinQuant,,,,,100.0,100.0,https://pypi.org/project/FinQuant,593.0,593.0,,,,,,,,,,,,3.0,,,,,,,,,,,
548,Neuraxle,Neuraxio/Neuraxle,hyperopt,,{},9.0,,5,False,neuraxle,,,,,69.0,69.0,https://pypi.org/project/neuraxle,152.0,152.0,,,,,,,,,,,,3.0,,,,,,,,,,,
549,TF-Agents,tensorflow/agents,reinforcement-learning,,{},155.0,,5,False,tf-agents,,,,['tensorflow'],,,https://pypi.org/project/tf-agents,7533.0,7533.0,,,,,,,,,,,,3.0,,,,,,,,,,,
550,Fiber,uber/fiber,distributed-ml,,{},5.0,,5,False,fiber,,,,,96.0,96.0,https://pypi.org/project/fiber,183.0,183.0,,,,,,,,,,,,3.0,,,,,,,,,,,
551,N2,kakao/n2,nn-search,,{},22.0,,5,False,n2,,,,,40.0,40.0,https://pypi.org/project/n2,171.0,171.0,,,,,,,,,,,,3.0,,,,,,,,,,,
552,TF Ranking,tensorflow/ranking,recommender-systems,,{},36.0,,5,False,tensorflow_ranking,,,,['tensorflow'],,,https://pypi.org/project/tensorflow_ranking,56199.0,56199.0,,,,,,,,,,,,3.0,,,,,,,,,,,
553,recmetrics,statisticianinstilettos/recmetrics,recommender-systems,,{},20.0,,5,False,recmetrics,,,,,64.0,64.0,https://pypi.org/project/recmetrics,365.0,365.0,,,,,,,,,,,,3.0,,,,,,,,,,,
554,TimeSide,Parisson/TimeSide,audio,,{},23.0,,5,False,TimeSide,,,,,20.0,20.0,https://pypi.org/project/TimeSide,414.0,414.0,,,,,,,,,,,,3.0,,,,,,,,,,,
555,PipelineDP,OpenMined/PipelineDP,privacy-ml,,{},35.0,,5,False,pipeline-dp,,,,,17.0,17.0,https://pypi.org/project/pipeline-dp,255.0,255.0,,,,,,,,,,,,3.0,,,,,,,,,,,
