,name,github_id,category,resource,homepage,contributor_count,description,projectrank,show,pypi_id,conda_id,labels,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,pypi_url,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,pypi_monthly_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,recent_commit_count,trending,helm_id,maven_id,updated_github_id,maven_url,docs_url,npm_id,npm_url,npm_monthly_downloads,brew_id,apt_id,yum_id
31,Facets Overview,pair-code/facets,data-viz,,https://github.com/PAIR-code/facets,31.0,Visualizations for machine learning datasets.,21,False,facets-overview,,['jupyter'],https://github.com/PAIR-code/facets,Apache-2.0,2017-07-07 14:03:03.000,2023-05-24 15:56:22.000000,2023-05-24 15:56:22,277.0,872.0,2.0,98.0,78.0,81.0,7332.0,2019-07-01 16:35:20,1.0.0,,120594.0,4.0,,,https://pypi.org/project/facets-overview,,,,1.0,,120594.0,,,,,,,,,,,,,,,,,
32,AdaNet,tensorflow/adanet,hyperopt,,https://github.com/tensorflow/adanet,27.0,Fast and flexible AutoML with learning guarantees.,21,False,adanet,,['tensorflow'],https://github.com/tensorflow/adanet,Apache-2.0,2018-06-28 20:20:24.000,2023-11-30 16:30:21.000000,2021-08-30 19:33:24,440.0,520.0,164.0,50.0,65.0,49.0,3451.0,2020-07-09 20:53:28,0.9.0,,345.0,11.0,,,https://pypi.org/project/adanet,,,,1.0,,345.0,,,,,,,,,,,,,,,,,
33,TF Ranking,tensorflow/ranking,recommender-systems,,https://github.com/tensorflow/ranking,36.0,Learning to Rank in TensorFlow.,21,False,tensorflow_ranking,,['tensorflow'],https://github.com/tensorflow/ranking,Apache-2.0,2018-12-03 20:48:57.000,2024-03-18 20:31:57.000000,2024-03-18 20:31:55,556.0,470.0,1.0,44.0,79.0,240.0,2769.0,2023-06-03 06:14:49,0.5.3,,44726.0,18.0,,,https://pypi.org/project/tensorflow_ranking,,,,1.0,,44726.0,,,,,,,,,,,,,,,,,
34,Keras,keras-team/keras,ml-frameworks,,{},1569.0,Deep Learning for Python.,21,False,keras,conda-forge/keras,['tensorflow'],,,2020-06-25 19:13:32.150,2026-07-30 13:59:39.561000,,,,,,,,,,,,13269051.0,52.0,308585.0,308585.0,https://pypi.org/project/keras,https://anaconda.org/conda-forge/keras,2026-07-30 13:59:39.561,5434600.0,2.0,,13196590.0,,,,,,,,,,,https://keras.io,,,,,,
35,XGBoost,dmlc/xgboost,ml-frameworks,,{},708.0,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",21,False,xgboost,conda-forge/xgboost,,,,2020-07-02 21:36:28.150,2026-09-16 01:08:29.719000,,,,,,,,,,,,33754201.0,47.0,173485.0,173485.0,https://pypi.org/project/xgboost,https://anaconda.org/conda-forge/xgboost,2026-09-16 01:08:29.719,8296327.0,2.0,,33642089.0,,,,,,3.0,,,,,https://xgboost.readthedocs.io/en/latest/,,,,,,
36,StatsModels,statsmodels/statsmodels,ml-frameworks,,{},574.0,Statistical computations and models for Python.,21,False,statsmodels,conda-forge/statsmodels,,,,2020-06-12 12:09:15.928,2026-08-31 17:21:04.192000,,,,,,,,,,,,33505290.0,24.0,186483.0,186483.0,https://pypi.org/project/statsmodels,https://anaconda.org/conda-forge/statsmodels,2026-08-31 17:21:04.192,28866166.0,2.0,,33120408.0,,,,,,,,,,,,,,,,,
37,sentence-transformers,UKPLab/sentence-transformers,nlp,,{},310.0,Sentence Embeddings using BERT / RoBERTa / XLNet.,21,False,sentence-transformers,conda-forge/sentence-transformers,['pytorch'],,,2020-09-18 19:41:05.496,2026-08-31 08:52:04.481000,,,,,,,,,,,,26199918.0,52.0,141155.0,141155.0,https://pypi.org/project/sentence-transformers,https://anaconda.org/conda-forge/sentence-transformers,2026-08-31 08:52:04.481,2300453.0,2.0,,26167968.0,,,,,,,,,,,,,,,,,
38,Tokenizers,huggingface/tokenizers,nlp,,{},152.0,Fast State-of-the-Art Tokenizers optimized for Research and Production.,21,False,tokenizers,conda-forge/tokenizers,,,,2020-07-20 15:07:28.335,2026-06-29 18:15:09.757000,,,,,,,,,,,,184256537.0,39.0,208575.0,208575.0,https://pypi.org/project/tokenizers,https://anaconda.org/conda-forge/tokenizers,2026-06-29 18:15:09.757,5585159.0,2.0,,184181062.0,,,,,,,,,,,,,,,,,
39,Seaborn,mwaskom/seaborn,data-viz,,{},217.0,Statistical data visualization.,21,False,seaborn,conda-forge/seaborn,,,,2020-06-11 12:34:59.562,2025-04-22 14:56:26.328000,,,,,,,,,,,,28778963.0,15.0,719710.0,719710.0,https://pypi.org/project/seaborn,https://anaconda.org/conda-forge/seaborn,2025-04-22 14:56:26.328,19027459.0,1.0,,28525264.0,,,,,,,,,,,,,,,,,
40,Shapely,shapely/shapely,geospatial-data,,{},175.0,Python package for manipulation and analysis of geometric objects in the Cartesian plane.,21,False,shapely,conda-forge/shapely,,,,2020-08-21 06:18:37.778,2026-09-11 19:51:29.398000,,,,,,,,,,,,62343501.0,36.0,124339.0,124339.0,https://pypi.org/project/shapely,https://anaconda.org/conda-forge/shapely,2026-09-11 19:51:29.398,19666352.0,1.0,,62074099.0,,,,,,,,,,,,,,,,,
41,mlflow,mlflow/mlflow,ml-experiments,,{},1191.0,MLflow is an open source platform for the machine learning lifecycle.,21,False,mlflow,conda-forge/mlflow,,,,2020-06-25 18:11:47.672,2026-09-06 07:06:41.202000,,,,,,,,,,,,28004008.0,125.0,69516.0,69516.0,https://pypi.org/project/mlflow,https://anaconda.org/conda-forge/mlflow,2026-09-06 07:06:41.202,5404605.0,1.0,,27931947.0,,,,,,,,,,,,,,,,,
42,dask,dask/dask,distributed-ml,,{},656.0,Parallel PyData with Task Scheduling.,21,False,dask,conda-forge/dask,,,,2020-05-27 04:42:11.739,2026-08-28 11:54:13.617000,,,,,,,,,,,,24278067.0,211.0,80497.0,80497.0,https://pypi.org/project/dask,https://anaconda.org/conda-forge/dask,2026-08-28 11:54:13.617,17925208.0,1.0,,24042209.0,,,,,,,stable/dask,,,,,,,,,,
43,SymPy,sympy/sympy,others,,{},1513.0,Python library for symbolic mathematics.,21,False,sympy,conda-forge/sympy,,,,2020-05-24 15:55:07.810,2026-02-24 17:00:41.277000,,,,,,,,,,,,137203732.0,25.0,311578.0,311578.0,https://pypi.org/project/sympy,https://anaconda.org/conda-forge/sympy,2026-02-24 17:00:41.277,16804536.0,1.0,,136982620.0,,,,,,,,,,,,,,,,,
44,HiPlot,facebookresearch/hiplot,data-viz,,https://github.com/facebookresearch/hiplot,9.0,HiPlot makes understanding high dimensional data easy.,20,False,hiplot,conda-forge/hiplot,,https://github.com/facebookresearch/hiplot,MIT,2019-11-08 13:06:41.000,2025-04-22 14:57:21.906000,2023-07-19 07:40:10,212.0,147.0,1.0,200.0,16.0,73.0,2799.0,2021-11-04 14:24:43,0.1.32,,16953.0,35.0,12.0,12.0,https://pypi.org/project/hiplot,https://anaconda.org/conda-forge/hiplot,2025-04-22 14:57:21.906,353287.0,1.0,,12482.0,,,,,,,,,,,,,,,,,
45,YouTokenToMe,vkcom/youtokentome,nlp,,https://github.com/VKCOM/YouTokenToMe,8.0,Unsupervised text tokenizer focused on computational efficiency.,20,False,youtokentome,conda-forge/youtokentome,,https://github.com/VKCOM/YouTokenToMe,MIT,2019-06-06 11:38:28.000,2025-10-27 19:11:49.313000,2023-03-29 07:39:45,85.0,88.0,1.0,55.0,32.0,28.0,980.0,2020-02-13 09:57:47,1.0.6,,12587.0,4.0,841.0,841.0,https://pypi.org/project/youtokentome,https://anaconda.org/conda-forge/youtokentome,2025-10-27 19:11:49.313,150412.0,2.0,,10081.0,,,,,,,,,,,,,,,,,
46,jax,google/jax,ml-frameworks,,{},1125.0,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",20,False,jax,conda-forge/jaxlib,,,,2020-06-16 01:44:03.567,2026-09-02 20:47:37.917000,,,,,,,,,,,,10924323.0,93.0,51234.0,51234.0,https://pypi.org/project/jax,https://anaconda.org/conda-forge/jaxlib,2026-09-02 20:47:37.917,4554697.0,2.0,,10863594.0,,,,,,,,,,,,,,,,,
47,sentencepiece,google/sentencepiece,nlp,,{},121.0,Unsupervised text tokenizer for Neural Network-based text generation.,20,False,sentencepiece,conda-forge/sentencepiece,,,,2020-07-09 18:30:01.986,2026-09-08 12:01:31.027000,,,,,,,,,,,,29159146.0,8.0,131529.0,131529.0,https://pypi.org/project/sentencepiece,https://anaconda.org/conda-forge/sentencepiece,2026-09-08 12:01:31.027,2373309.0,2.0,,29127075.0,,,,,,,,,,,,,,,,,
48,langchain,langchain-ai/langchain,agents,,{},3738.0,,20,False,langchain,,,,,,,,,,,,,,,,,,188351544.0,,291656.0,291656.0,https://pypi.org/project/langchain,,,,1.0,,188351544.0,,,,,,,,,,,,,,,,,
49,scikit-image,scikit-image/scikit-image,image,,{},653.0,Image processing in Python.,20,False,scikit-image,conda-forge/scikit-image,,,,2020-06-09 21:49:09.288,2025-12-25 22:03:47.378000,,,,,,,,,,,,24516200.0,29.0,248255.0,248255.0,https://pypi.org/project/scikit-image,https://anaconda.org/conda-forge/scikit-image,2025-12-25 22:03:47.378,11343269.0,1.0,,24364957.0,,,,,,,,,,,,,,,,,
50,imageio,imageio/imageio,image,,{},131.0,A Python library for reading and writing image data.,20,False,imageio,conda-forge/imageio,,,,2020-07-06 14:13:23.772,2026-09-08 11:09:39.176000,,,,,,,,,,,,37846105.0,53.0,190575.0,190575.0,https://pypi.org/project/imageio,https://anaconda.org/conda-forge/imageio,2026-09-08 11:09:39.176,10694466.0,1.0,,37701586.0,,,,,,,,,,,,,,,,,
51,Bokeh,bokeh/bokeh,data-viz,,{},744.0,Statistical and novel interactive HTML plots for Python.,20,False,bokeh,conda-forge/bokeh,,,,2020-06-16 00:40:01.624,2026-08-19 13:07:16.399000,,,,,,,,,,,,6155719.0,78.0,106074.0,106074.0,https://pypi.org/project/bokeh,https://anaconda.org/conda-forge/bokeh,2026-08-19 13:07:16.399,21229996.0,1.0,,5872653.0,,,,,,,,,,,,,,,,,
52,dash,plotly/dash,data-viz,,{},223.0,A Python framework for building reactive web-apps. Developed by Plotly.,20,False,dash,conda-forge/dash,,,,2020-06-21 21:47:00.236,2026-07-22 05:14:16.153000,,,,,,,,,,,,6982024.0,126.0,91147.0,91147.0,https://pypi.org/project/dash,https://anaconda.org/conda-forge/dash,2026-07-22 05:14:16.153,2658103.0,1.0,,6946583.0,,,,,,3.0,,,,,,,,,,,
53,Altair,altair-viz/altair,data-viz,,{},200.0,Altair: A declarative statistical visualization library for Python.,20,False,altair,conda-forge/altair,,,,2021-12-29 16:43:13.728,2026-06-25 09:08:16.682000,,,,,,,,,,,,40915289.0,35.0,250032.0,250032.0,https://pypi.org/project/altair,https://anaconda.org/conda-forge/altair,2026-06-25 09:08:16.682,3827113.0,1.0,,40848147.0,,,,,,,,,,,,,,,,,
54,pyproj,pyproj4/pyproj,geospatial-data,,{},86.0,Python interface to PROJ library.,20,False,pyproj,conda-forge/pyproj,,,MIT,2020-07-28 04:30:26.055,2026-09-16 15:02:47.498000,,,,,,,,,,,,21522785.0,38.0,50213.0,50213.0,https://pypi.org/project/pyproj,https://anaconda.org/conda-forge/pyproj,2026-09-16 15:02:47.498,15393484.0,1.0,,21314765.0,,,,,,,,,,,,,,,,,
