,name,github_id,category,resource,homepage,contributor_count,description,projectrank,show,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,created_at,conda_latest_release_published_at,updated_at,conda_total_downloads,release_count,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,star_count,dockerhub_pulls,projectrank_placing,trending,license,npm_id,npm_url,npm_monthly_downloads,brew_id,apt_id,yum_id,helm_id,maven_id,maven_url
156,Keras Tuner,keras-team/keras-tuner,hyperopt,,{},61.0,Hypertuner for Keras.,14,False,keras-tuner,conda-forge/keras-tuner,,,['tensorflow'],6264.0,6264.0,https://pypi.org/project/keras-tuner,163594.0,164959.0,https://anaconda.org/conda-forge/keras-tuner,2021-08-02 13:21:10.519,2025-12-30 15:56:03.681,2025-12-30 15:56:03.681000,80547.0,16.0,,,,,,2.0,,,,,,,,,,,
157,nevergrad,facebookresearch/nevergrad,hyperopt,,{},59.0,A Python toolbox for performing gradient-free optimization.,14,False,nevergrad,conda-forge/nevergrad,,,,1245.0,1245.0,https://pypi.org/project/nevergrad,514836.0,515854.0,https://anaconda.org/conda-forge/nevergrad,2020-05-26 12:59:59.482,2025-04-22 14:57:24.222,2025-04-22 14:57:24.222000,75386.0,15.0,,,,,,2.0,,,,,,,,,,,
158,stable-baselines3,DLR-RM/stable-baselines3,reinforcement-learning,,{},172.0,,14,False,stable-baselines3,,,,,10460.0,10460.0,https://pypi.org/project/stable-baselines3,1349694.0,1349694.0,,,,,,,,,,,,1.0,,,,,,,,,,,
159,DIPY,dipy/dipy,medical-data,,{},204.0,Diffusion MR Imaging in Python.,14,False,dipy,conda-forge/dipy,,,,1652.0,1652.0,https://pypi.org/project/dipy,84723.0,102391.0,https://anaconda.org/conda-forge/dipy,2020-09-15 04:04:39.951,2026-04-24 18:41:52.533,2026-04-24 18:41:52.533000,1236786.0,21.0,,,,,,2.0,,,,,,,,,,,
160,SDV,sdv-dev/SDV,tabular,,{},50.0,"Synthetic Data Generation for tabular, relational and time series data.",14,False,sdv,conda-forge/sdv,,,,910.0,910.0,https://pypi.org/project/sdv,120199.0,121974.0,https://anaconda.org/conda-forge/sdv,2021-12-01 17:23:52.352,2026-07-02 21:53:53.725,2026-07-02 21:53:53.725000,97673.0,73.0,,,,,,1.0,,,,,,,,,,,
161,tslearn,tslearn-team/tslearn,time-series-data,,{},50.0,A machine learning toolkit dedicated to time-series data.,14,False,tslearn,conda-forge/tslearn,,,['sklearn'],2005.0,2005.0,https://pypi.org/project/tslearn,323880.0,351704.0,https://anaconda.org/conda-forge/tslearn,2020-06-15 20:45:09.304,2026-07-03 08:42:17.384,2026-07-03 08:42:17.384000,2031153.0,30.0,,,,,,2.0,,,,,,,,,,,
162,implicit,benfred/implicit,recommender-systems,,{},37.0,Fast Python Collaborative Filtering for Implicit Datasets.,14,False,implicit,conda-forge/implicit,,,,2015.0,2015.0,https://pypi.org/project/implicit,330100.0,358769.0,https://anaconda.org/conda-forge/implicit,2020-09-15 03:41:22.783,2026-05-14 22:07:46.291,2026-05-14 22:07:46.291000,2006838.0,18.0,,,,,,1.0,,,,,,,,,,,
163,Coqui TTS,coqui-ai/TTS,audio,,{},166.0,Deep learning for Text to Speech by Coqui.,14,False,tts,conda-forge/tts,,,"['pytorch', 'tensorflow']",3785.0,3785.0,https://pypi.org/project/tts,103827.0,104484.0,https://anaconda.org/conda-forge/tts,2021-10-18 17:44:58.974,2025-04-22 14:58:02.848,2025-04-22 14:58:02.848000,37450.0,4.0,,,,,,1.0,,,,,,,,,,,
164,speechbrain,speechbrain/speechbrain,audio,,{},277.0,,14,False,speechbrain,,,,['pytorch'],4324.0,4324.0,https://pypi.org/project/speechbrain,1649686.0,1649686.0,,,,,,,,,,,,1.0,,,,,,,,,,,
165,Core ML Tools,apple/coremltools,model-serialisation,,{},234.0,Core ML is an Apple framework to integrate machine learning models into your app. Core ML provides a unified..,14,False,coremltools,conda-forge/coremltools,,,,5568.0,5568.0,https://pypi.org/project/coremltools,,2208.0,https://anaconda.org/conda-forge/coremltools,2020-10-16 19:48:15.220,2026-06-22 13:38:39.137,2026-06-22 13:38:39.137000,152384.0,5.0,,,,,,2.0,,,,,,,,,,,
