,name,github_id,category,resource,homepage,contributor_count,description,projectrank,show,pypi_id,conda_id,labels,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,helm_id,recent_commit_count,updated_github_id,maven_id,maven_url,docs_url,npm_id,npm_url,npm_monthly_downloads,brew_id,apt_id,yum_id
150,scikit-optimize,scikit-optimize/scikit-optimize,hyperopt,,{},76.0,Sequential model-based optimization toolbox.,15,False,scikit-optimize,conda-forge/scikit-optimize,,,,2020-08-07 15:12:33.756,2025-07-26 15:19:34.264000,,,,,,,,,,,,670333.0,14.0,9128.0,9128.0,https://pypi.org/project/scikit-optimize,657044.0,https://anaconda.org/conda-forge/scikit-optimize,2025-07-26 15:19:34.264,970125.0,1.0,,,,,,,,,,,,,,,,,,
151,BoTorch,pytorch/botorch,hyperopt,,{},166.0,Bayesian Optimization in PyTorch.,15,False,botorch,conda-forge/botorch,['pytorch'],,,2020-08-01 11:16:39.122,2026-06-09 03:34:16.649000,,,,,,,,,,,,497187.0,43.0,1958.0,1958.0,https://pypi.org/project/botorch,494012.0,https://anaconda.org/conda-forge/botorch,2026-06-09 03:34:16.649,231784.0,1.0,,,,,,,,,,,,,,,,,,
152,snakemake,snakemake/snakemake,ml-experiments,,{},406.0,A popular workflow management system aiming at full in-silico reproducibility.,15,False,snakemake,bioconda/snakemake,,,,2015-10-17 15:43:54.867,2026-08-31 07:26:32.632000,,,,,,,,,,,,204217.0,372.0,2711.0,2711.0,https://pypi.org/project/snakemake,189532.0,https://anaconda.org/bioconda/snakemake,2026-08-31 07:26:32.632,1923805.0,2.0,,,,,,,,,,,,,,,,,,
153,Lifelines,CamDavidsonPilon/lifelines,medical-data,,{},124.0,"Survival analysis in Python, including Kaplan Meier, Nelson Aalen and regression.",15,False,lifelines,conda-forge/lifelines,,,,2020-05-25 23:39:09.984,2026-04-29 14:43:19.233000,,,,,,,,,,,,2052296.0,65.0,4548.0,4548.0,https://pypi.org/project/lifelines,2042583.0,https://anaconda.org/conda-forge/lifelines,2026-04-29 14:43:19.233,738189.0,2.0,,,,,,,,,,,,,,,,,,
154,DIPY,dipy/dipy,medical-data,,{},206.0,Diffusion MR Imaging in Python.,15,False,dipy,conda-forge/dipy,,,,2020-09-15 04:04:39.951,2026-08-06 14:06:10.268000,,,,,,,,,,,,81326.0,21.0,1661.0,1661.0,https://pypi.org/project/dipy,63639.0,https://anaconda.org/conda-forge/dipy,2026-08-06 14:06:10.268,1273524.0,2.0,,,,,,,,,,,,,,,,,,
155,StatsForecast,Nixtla/statsforecast,time-series-data,,{},71.0,Time series forecasting suite using statistical models.,15,False,statsforecast,conda-forge/statsforecast,,,,2022-03-04 23:51:03.641,2026-07-16 21:01:59.106000,,,,,,,,,,,,1559600.0,37.0,2239.0,2239.0,https://pypi.org/project/statsforecast,1553614.0,https://anaconda.org/conda-forge/statsforecast,2026-07-16 21:01:59.106,323246.0,1.0,,,,,,,,,,,,,,,,,,
156,STUMPY,TDAmeritrade/stumpy,time-series-data,,{},46.0,"STUMPY is a powerful and scalable Python library that computes something called a matrix profile, which can then be..",15,False,stumpy,conda-forge/stumpy,,,BSD-3-Clause,2020-06-15 15:52:12.048,2026-02-08 02:09:16.381000,,,,,,,,,,,,410427.0,29.0,1675.0,1675.0,https://pypi.org/project/stumpy,393269.0,https://anaconda.org/conda-forge/stumpy,2026-02-08 02:09:16.381,1286857.0,1.0,,,,,,,,,,,,,,,,,,
157,Annoy,spotify/annoy,nn-search,,{},90.0,Approximate Nearest Neighbors in C++/Python optimized for memory usage and loading/saving to disk.,15,False,annoy,conda-forge/python-annoy,,,,2020-09-18 19:43:51.472,2025-09-01 16:14:20.560000,,,,,,,,,,,,1173878.0,22.0,5632.0,5632.0,https://pypi.org/project/annoy,1150902.0,https://anaconda.org/conda-forge/python-annoy,2025-09-01 16:14:20.560,1654332.0,2.0,,,,,,,,,,,,,,,,,,
158,weaviate,weaviate/weaviate,nn-search,,{},188.0,,15,False,weaviate-client,,,,,,,,,,,,,,,,,,48778214.0,,1134.0,1134.0,https://pypi.org/project/weaviate-client,48778214.0,,,,2.0,,,,,,,,,,,,,,,,,,
159,hnswlib,nmslib/hnswlib,nn-search,,{},75.0,"Python bindings for Hnswlib, a fast approximate nearest neighbor search package.",15,False,hnswlib,conda-forge/hnswlib,,,,2020-12-23 06:04:48.389,2025-08-30 15:22:17.304000,,,,,,,,,,,,558648.0,6.0,8891.0,8891.0,https://pypi.org/project/hnswlib,551268.0,https://anaconda.org/conda-forge/hnswlib,2025-08-30 15:22:17.304,509248.0,2.0,,,,,,,,,,,,,,,,,,
160,GPyTorch,cornellius-gp/gpytorch,probabilistics,,{},154.0,An implementation of Gaussian Processes in Pytorch.,15,False,gpytorch,conda-forge/gpytorch,['pytorch'],,,2020-05-21 18:18:14.146,2026-02-28 20:41:43.640000,,,,,,,,,,,,769462.0,26.0,3480.0,3480.0,https://pypi.org/project/gpytorch,765672.0,https://anaconda.org/conda-forge/gpytorch,2026-02-28 20:41:43.640,288071.0,1.0,,,,,,,,,,,,,,,,,,
