,name,github_id,category,resource,homepage,contributor_count,description,projectrank,show,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,created_at,conda_latest_release_published_at,updated_at,conda_total_downloads,release_count,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,star_count,dockerhub_pulls,projectrank_placing,license,trending,npm_id,npm_url,npm_monthly_downloads,helm_id,brew_id,apt_id,yum_id,maven_id,maven_url
544,Poutyne,GRAAL-Research/poutyne,pytorch-utils,,{},23.0,,5,False,poutyne,,,,['pytorch'],,,https://pypi.org/project/poutyne,25133.0,25133.0,,,,,,,,,,,,3.0,,,,,,,,,,,
545,facenet-pytorch,timesler/facenet-pytorch,pytorch-utils,,{},18.0,,5,False,facenet-pytorch,,,,['pytorch'],,,https://pypi.org/project/facenet-pytorch,147751.0,147751.0,,,,,,,,,,,,3.0,,,,,,,,,,,
546,PyTorch Sparse,rusty1s/pytorch_sparse,pytorch-utils,,{},48.0,,5,False,torch-sparse,conda-forge/pytorch_sparse,,,['pytorch'],,,https://pypi.org/project/torch-sparse,30800.0,30800.0,https://anaconda.org/conda-forge/pytorch_sparse,,,,,,,,,,,3.0,,,,,,,,,,,
547,TensorFlow Cloud,tensorflow/cloud,tensorflow-utils,,{},30.0,,5,False,tensorflow-cloud,,,,['tensorflow'],,,https://pypi.org/project/tensorflow-cloud,42629.0,42629.0,,,,,,,,,,,,3.0,,,,,,,,,,,
548,evojax,google/evojax,jax-utils,,{},14.0,EvoJAX: Hardware-accelerated Neuroevolution.,5,False,evojax,conda-forge/evojax,,,['jax'],,,https://pypi.org/project/evojax,1025.0,2030.0,https://anaconda.org/conda-forge/evojax,2022-02-14 16:32:21.864,2025-04-22 14:58:11.525,2025-04-22 14:58:11.525000,54300.0,20.0,,,,,,3.0,,,,,,,,,,,
549,pymdp,infer-actively/pymdp,others,,{},36.0,,5,False,inferactively-pymdp,,,,,,,https://pypi.org/project/inferactively-pymdp,20015.0,20015.0,,,,,,,,,,,,3.0,,,,,,,,,,,
550,Milvus,milvus-io/milvus,nn-search,,{},365.0,"Milvus --- an open-source, high-performance vector database (https://milvus.io).",4,False,pymilvus,,milvusdb/milvus,,,,,https://pypi.org/project/pymilvus,,,,,,2026-08-06 20:37:55.898460,,,https://hub.docker.com/r/milvusdb/milvus,2026-08-06 20:37:55.898460,105.0,105.0,77923604.0,3.0,,,,,,,,,,,
551,awesome-machine-learning,josephmisiti/awesome-machine-learning,data-science,,{},734.0,,4,False,,,,,,23.0,23.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
552,awesome-quant,wilsonfreitas/awesome-quant,data-science,,{},256.0,,4,False,,,,,,24.0,24.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
553,Neural Network Libraries,sony/nnabla,ml-frameworks,,{},76.0,,4,False,nnabla,,,,,,,https://pypi.org/project/nnabla,2002.0,2002.0,,,,,,,,,,,,3.0,,,,,,,,,,,
554,ivis,beringresearch/ivis,ml-frameworks,,{},10.0,,4,False,ivis,,,,,41.0,41.0,https://pypi.org/project/ivis,444.0,444.0,,,,,,,,,,,,3.0,,,,,,,,,,,
555,finetune,IndicoDataSolutions/finetune,nlp,,{},25.0,,4,False,finetune,,,,"['tensorflow', 'sklearn']",16.0,16.0,https://pypi.org/project/finetune,142.0,142.0,,,,,,,,,,,,3.0,,,,,,,,,,,
556,attention-ocr,emedvedev/attention-ocr,ocr,,{},28.0,,4,False,aocr,,,,['tensorflow'],32.0,32.0,https://pypi.org/project/aocr,71.0,71.0,,,,,,,,,,,,3.0,,,,,,,,,,,
557,calamari,Calamari-OCR/calamari,ocr,,{},23.0,,4,False,calamari_ocr,,,,,,,https://pypi.org/project/calamari_ocr,2322.0,2322.0,,,,,,,,,,,,3.0,,,,,,,,,,,
558,responsible-ai-toolbox,microsoft/responsible-ai-toolbox,interpretability,,{},45.0,,4,False,raiwidgets,,,,"['pytorch', 'tensorflow', 'jupyter']",,,https://pypi.org/project/raiwidgets,5132.0,5132.0,,,,,,,,,,,,3.0,,,,,,,,,,,
559,ecco,jalammar/ecco,interpretability,,{},12.0,Visualization tools for NLP machine learning models.,4,False,ecco,conda-forge/ecco,,,['pytorch'],,,https://pypi.org/project/ecco,284.0,448.0,https://anaconda.org/conda-forge/ecco,2021-12-30 22:13:55.932,2025-04-22 14:58:08.015,2025-04-22 14:58:08.015000,9207.0,3.0,,,,,,3.0,,,,,,,,,,,
