,name,github_id,category,resource,homepage,contributor_count,description,projectrank,show,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,created_at,conda_latest_release_published_at,updated_at,conda_total_downloads,release_count,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,star_count,dockerhub_pulls,projectrank_placing,license,npm_id,npm_url,npm_monthly_downloads,trending,helm_id,brew_id,apt_id,yum_id,maven_id,maven_url
68,Kornia,kornia/kornia,image,,{},356.0,Kornia is a differentiable computer vision library for PyTorch.,17,False,kornia,conda-forge/kornia,,,['pytorch'],17786.0,17786.0,https://pypi.org/project/kornia,2992718.0,2997185.0,https://anaconda.org/conda-forge/kornia,2020-12-09 16:29:41.029,2025-11-08 13:20:35.488,2025-11-08 13:20:35.488000,299327.0,27.0,,,,,,2.0,,,,,,,,,,,
69,HoloViews,holoviz/holoviews,data-viz,,{},164.0,Stop plotting your data - annotate your data and let it visualize itself.,17,False,holoviews,conda-forge/holoviews,,,['jupyter'],16825.0,16825.0,https://pypi.org/project/holoviews,2019572.0,2068624.0,https://anaconda.org/conda-forge/holoviews,2020-06-23 16:07:32.048,2026-07-02 19:05:21.338,2026-07-02 19:05:21.338000,3574440.0,77.0,,,,,,2.0,,@pyviz/jupyterlab_pyviz,https://www.npmjs.com/package/@pyviz/jupyterlab_pyviz,88.0,,,,,,,
70,plotnine,has2k1/plotnine,data-viz,,{},120.0,A grammar of graphics for python.,17,False,plotnine,conda-forge/plotnine,,,,13027.0,13027.0,https://pypi.org/project/plotnine,3300638.0,3311288.0,https://anaconda.org/conda-forge/plotnine,2020-06-05 19:51:41.903,2026-06-13 11:00:50.180,2026-06-13 11:00:50.180000,777519.0,37.0,,,,,,2.0,,,,,,,,,,,
71,PyVista,pyvista/pyvista,data-viz,,{},207.0,3D plotting and mesh analysis through a streamlined interface for the Visualization Toolkit (VTK).,17,False,pyvista,conda-forge/pyvista,,,['jupyter'],5962.0,5962.0,https://pypi.org/project/pyvista,1304275.0,1319419.0,https://anaconda.org/conda-forge/pyvista,2020-06-02 20:15:44.310,2026-07-22 01:06:54.890,2026-07-22 01:06:54.890000,1105552.0,97.0,,,,,,2.0,,,,,,,,,,,
72,PyTorch Geometric,pyg-team/pytorch_geometric,graph,,{},568.0,Graph Neural Network Library for PyTorch.,17,False,torch-geometric,conda-forge/pytorch_geometric,,,['pytorch'],11412.0,11412.0,https://pypi.org/project/torch-geometric,1432742.0,1436079.0,https://anaconda.org/conda-forge/pytorch_geometric,2020-07-07 13:17:41.291,2026-07-21 06:53:45.431,2026-07-21 06:53:45.431000,240266.0,19.0,,,,,,1.0,,,,,,,,,,,
73,Fiona,Toblerity/Fiona,geospatial-data,,{},78.0,Fiona reads and writes spatial data files.,17,False,fiona,conda-forge/fiona,,,,27585.0,27585.0,https://pypi.org/project/fiona,6271202.0,6428820.0,https://anaconda.org/conda-forge/fiona,2020-07-27 18:07:57.882,2025-12-29 23:44:48.634,2025-12-29 23:44:48.634000,11348532.0,51.0,,,,,,3.0,,,,,,,,,,,
74,DVC,iterative/dvc,ml-experiments,,{},332.0,DVC tracks ML models and data sets.,17,False,dvc,conda-forge/dvc,,,,24712.0,24712.0,https://pypi.org/project/dvc,2512500.0,2563320.0,https://anaconda.org/conda-forge/dvc,2020-06-19 15:26:50.030,2026-03-31 06:31:23.617,2026-03-31 06:31:23.617000,3709871.0,340.0,,,,,,2.0,,,,,,,dvc,dvc,dvc,,
75,tensorboardX,lanpa/tensorboardX,ml-experiments,,{},86.0,tensorboard for pytorch.,17,False,tensorboardX,conda-forge/tensorboardx,,,,61704.0,61704.0,https://pypi.org/project/tensorboardX,5745841.0,5765739.0,https://anaconda.org/conda-forge/tensorboardx,2020-07-06 20:33:54.325,2025-04-22 14:56:45.200,2025-04-22 14:56:45.200000,1432694.0,17.0,,,,,,2.0,,,,,,,,,,,
76,NiBabel,nipy/nibabel,medical-data,,{},116.0,Python package to access a cacophony of neuro-imaging file formats.,17,False,nibabel,conda-forge/nibabel,,,,31179.0,31179.0,https://pypi.org/project/nibabel,1871308.0,1891571.0,https://anaconda.org/conda-forge/nibabel,2020-06-30 18:23:29.640,2026-06-09 01:40:14.470,2026-06-09 01:40:14.470000,1479256.0,33.0,,,,,,1.0,,,,,,,,,,,
77,Faiss,facebookresearch/faiss,nn-search,,{},333.0,A library for efficient similarity search and clustering of dense vectors.,17,False,pymilvus,conda-forge/faiss,,,,5022.0,5022.0,https://pypi.org/project/pymilvus,5415857.0,5469950.0,https://anaconda.org/conda-forge/faiss,2020-06-13 12:51:19.207,2026-03-19 20:40:19.980,2026-03-19 20:40:19.980000,3948828.0,11.0,,,,,,1.0,,,,,,,,,,,
